,date,mh,gj,dl,tn,rj,mp,up,ap,wb,pb
0,14-Mar-20,,,0.5,,1.0,,1.0,,,
1,15-Mar-20,,,0.6666666666666666,,1.0,,1.0,,,
2,16-Mar-20,,,0.6666666666666666,1.0,1.0,,1.0,,,
3,17-Mar-20,0.0,,0.6666666666666666,1.0,1.0,,1.0,,,
4,18-Mar-20,0.0,,0.6666666666666666,1.0,1.0,,1.0,,,
5,19-Mar-20,0.0,,0.75,1.0,1.0,,1.0,,,0.0
6,20-Mar-20,0.0,,0.8333333333333334,1.0,1.0,,1.0,,,0.0
7,21-Mar-20,0.0,,0.8333333333333334,1.0,1.0,,1.0,,,0.0
8,22-Mar-20,0.0,0.0,0.8333333333333334,1.0,1.0,,1.0,,,0.0
9,23-Mar-20,0.0,0.0,0.8333333333333334,1.0,1.0,,1.0,,0.0,0.0
10,24-Mar-20,0.0,0.0,0.8571428571428571,0.5,1.0,,1.0,,0.0,0.0
11,25-Mar-20,0.3333333333333333,0.0,0.8571428571428571,0.5,1.0,0.0,1.0,1.0,0.0,0.0
12,26-Mar-20,0.25,0.0,0.8571428571428571,0.5,1.0,0.0,1.0,1.0,0.0,0.0
13,27-Mar-20,0.8260869565217391,0.0,0.8571428571428571,0.6666666666666666,1.0,0.0,1.0,1.0,0.0,0.5
14,28-Mar-20,0.8064516129032258,0.0,0.8571428571428571,0.6666666666666666,1.0,0.0,1.0,1.0,0.0,0.5
15,29-Mar-20,0.78125,0.16666666666666666,0.75,0.6666666666666666,1.0,0.0,1.0,1.0,0.0,0.5
16,30-Mar-20,0.8125,0.3333333333333333,0.75,0.8,1.0,0.0,1.0,1.0,0.0,0.25
17,31-Mar-20,0.7959183673469388,0.45454545454545453,0.75,0.8571428571428571,1.0,0.0,1.0,1.0,0.5,0.2
18,01-Apr-20,0.75,0.45454545454545453,0.75,0.8571428571428571,1.0,0.0,0.8947368421052632,1.0,0.5,0.2
19,02-Apr-20,0.6666666666666666,0.5882352941176471,0.6666666666666666,0.8571428571428571,1.0,0.0,0.8947368421052632,1.0,0.5,0.16666666666666666
20,03-Apr-20,0.6578947368421053,0.5263157894736842,0.5714285714285714,0.8571428571428571,1.0,0.0,0.8947368421052632,0.6666666666666666,0.5,0.16666666666666666
21,04-Apr-20,0.6190476190476191,0.5652173913043478,0.7272727272727273,0.7272727272727273,0.9615384615384616,0.0,0.9130434782608695,0.6666666666666666,0.5,0.375
22,05-Apr-20,0.5544554455445545,0.65625,0.6956521739130435,0.6153846153846154,0.9615384615384616,0.1875,0.875,0.8333333333333334,0.7692307692307693,0.36363636363636365
23,06-Apr-20,0.5737704918032787,0.6470588235294118,0.6956521739130435,0.6842105263157895,0.9259259259259259,0.4230769230769231,0.875,0.625,0.7692307692307693,0.36363636363636365
24,07-Apr-20,0.5524475524475524,0.6410256410256411,0.6896551724137931,0.7307692307692307,0.9259259259259259,0.5,0.875,0.5555555555555556,0.8125,0.6363636363636364
25,08-Apr-20,0.6190476190476191,0.6097560975609756,0.7,0.7241379310344828,0.9375,0.5102040816326531,0.8857142857142857,0.6,0.7222222222222222,0.6086956521739131
26,09-Apr-20,0.5630630630630631,0.5909090909090909,0.6756756756756757,0.7714285714285715,0.9523809523809523,0.43103448275862066,0.8857142857142857,0.625,0.7619047619047619,0.6428571428571429
27,10-Apr-20,0.632996632996633,0.6346153846153846,0.6585365853658537,0.8301886792452831,0.9523809523809523,0.5,0.8888888888888888,0.625,0.7619047619047619,0.6451612903225806
28,11-Apr-20,0.6227544910179641,0.6666666666666666,0.5869565217391305,0.8148148148148148,0.928,0.4810126582278481,0.9,0.625,0.7619047619047619,0.625
29,12-Apr-20,0.5945205479452055,0.6470588235294118,0.5384615384615384,0.819672131147541,0.9166666666666666,0.4823529411764706,0.9,0.631578947368421,0.7307692307692307,0.6571428571428571
30,13-Apr-20,0.5902061855670103,0.675,0.5254237288135594,0.8405797101449275,0.9166666666666666,0.5,0.9074074074074074,0.631578947368421,0.8055555555555556,0.6756756756756757
31,14-Apr-20,0.5940366972477065,0.6781609195402298,0.5081967213114754,0.8709677419354839,0.930379746835443,0.5423728813559322,0.8620689655172413,0.5925925925925926,0.8372093023255814,0.675
32,15-Apr-20,0.6133056133056133,0.6597938144329897,0.5616438356164384,0.8939393939393939,0.930379746835443,0.5423728813559322,0.8382352941176471,0.5882352941176471,0.8409090909090909,0.675
33,16-Apr-20,0.6085192697768763,0.6697247706422018,0.5777777777777777,0.9230769230769231,0.9371428571428572,0.5555555555555556,0.8395061728395061,0.5882352941176471,0.8076923076923077,0.6744186046511628
34,17-Apr-20,0.623352165725047,0.6771653543307087,0.631578947368421,0.9496644295302014,0.915,0.5,0.8541666666666666,0.7142857142857143,0.8360655737704918,0.6818181818181818
35,18-Apr-20,0.6347826086956522,0.636986301369863,0.828,0.9605263157894737,0.9049773755656109,0.6446700507614214,0.8852459016393442,0.7241379310344828,0.8208955223880597,0.6595744680851063
36,19-Apr-20,0.6954732510288066,0.625,0.8656716417910447,0.9647887323943662,0.8991228070175439,0.6421568627450981,0.8819444444444444,0.7926829268292683,0.8378378378378378,0.6981132075471698
37,20-Apr-20,0.7123287671232876,0.6485148514851485,0.9016736401673641,0.9641350210970464,0.8913043478260869,0.641860465116279,0.8860759493670886,0.8214285714285714,0.8461538461538461,0.7037037037037037
38,21-Apr-20,0.742798353909465,0.6069868995633187,0.9285714285714286,0.9724349157733537,0.9133333333333333,0.6462882096069869,0.8852459016393442,0.8135593220338984,0.8295454545454546,0.7538461538461538
